Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
239,89.0296,88.116,0.0178596,0.0347083
240,88.9792,88.7944,0.0177473,0.0221741
241,89.0433,89.3924,0.0176293,0.0182153
242,88.9678,88.8521,0.017726,0.0204538
243,88.9836,87.8757,0.017573,0.0364861
244,88.9736,89.1153,0.0176786,0.0148175
245,88.9435,88.8667,0.0177893,0.0251934
246,89.0215,88.1694,0.0176414,0.0388671
247,89.1019,88.4292,0.0177044,0.0371083
248,88.9227,88.6396,0.017935,0.0199438
249,88.9981,87.9299,0.0178028,0.031579
250,89.0537,88.4722,0.0176569,0.0246913
251,88.8792,89.4854,0.0179648,0.016555
252,89.1412,87.9562,0.0177454,0.0315781
253,88.9581,88.1826,0.0179548,0.0409014
254,89.0667,88.9458,0.0179865,0.017614
255,89.1331,89.0229,0.0175809,0.0218629
256,89.0269,88.1,0.0180078,0.0391718
257,89.1694,88.8187,0.0175207,0.0203252
258,88.9736,88.8785,0.0176766,0.0217856
259,89.1063,88.4653,0.0178242,0.0324499
260,89.087,88.6861,0.017706,0.0292187
261,89.1713,89.4097,0.0177944,0.0236171
262,89.0815,88.9083,0.0176737,0.0168967
263,89.1076,87.9125,0.0175898,0.0353664
264,89.0488,88.8889,0.0178227,0.0206543
265,89.0711,89.1069,0.0175073,0.0176171
266,89.0426,88.7243,0.0178049,0.0293048
267,89.2021,87.6493,0.0176969,0.0406877
268,89.1748,87.6201,0.0175249,0.0457395
269,89.0984,88.9486,0.0180567,0.0226876
270,89.1312,88.1562,0.0176311,0.030506
271,89.165,88.9951,0.0177475,0.0187572
272,88.9208,89.5826,0.017916,0.0195165
273,89.2167,88.6181,0.0176587,0.0233113
274,89.1109,89.134,0.0177786,0.0274444
275,89.0234,89.1104,0.01778,0.0242746
276,89.1831,89.0972,0.0175881,0.0137297
277,88.9625,88.3403,0.0179044,0.0347251
278,89.1644,88.6222,0.0179604,0.0337335
279,89.363,88.2139,0.0177088,0.0341859
280,89.3037,88.7243,0.0178122,0.0288995
281,89.4562,88.9896,0.0175044,0.0296913
282,89.4556,89.0458,0.0172693,0.0290881
283,89.4653,89.0194,0.0176616,0.0268618
284,89.3887,88.8264,0.01741,0.028832
285,89.5056,88.7833,0.0174374,0.0310491
286,89.3641,88.5799,0.0174974,0.0331926
287,89.5127,89.3882,0.0174314,0.0183352
288,89.5072,89.3549,0.0177336,0.020879
289,89.5183,88.4528,0.0175289,0.0347759
290,89.5657,89.0764,0.0174456,0.0288606
291,89.4403,88.1778,0.0177592,0.0346686
292,89.4949,89.3778,0.0174774,0.021465
293,89.5965,88.825,0.0173118,0.0335828
294,89.494,89.2701,0.0175301,0.0285493
295,89.4111,89.3708,0.0175306,0.0237414
296,89.7095,88.8806,0.0173868,0.0239294
297,89.4331,88.6111,0.0176606,0.0394602
298,89.4715,89.3028,0.017486,0.0194724
299,89.7007,89.1854,0.0173133,0.0265425
300,89.4384,88.1535,0.0173711,0.044421
301,89.5641,89.2292,0.0174764,0.0321633
