Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
373,60.8717,60.375,0.00415141,0.00561406
374,60.9134,60.425,0.00414734,0.00561243
375,60.9217,60.475,0.00414329,0.00561081
376,60.9717,60.475,0.00413926,0.0056092
377,61.0301,60.475,0.00413524,0.00560762
378,61.0634,60.475,0.00413124,0.00560605
379,61.1134,60.5,0.00412726,0.00560451
380,61.1468,60.525,0.00412329,0.00560297
381,61.1801,60.55,0.00411934,0.00560146
382,61.1884,60.575,0.00411541,0.00559996
383,61.1718,60.6,0.00411148,0.00559848
384,61.2134,60.575,0.00410758,0.00559701
385,61.2718,60.65,0.00410369,0.00559556
386,61.3051,60.65,0.00409981,0.00559413
387,61.3468,60.625,0.00409595,0.00559271
388,61.3801,60.625,0.0040921,0.00559131
389,61.4218,60.625,0.00408827,0.00558992
390,61.4385,60.675,0.00408445,0.00558855
391,61.4718,60.75,0.00408065,0.0055872
392,61.5051,60.7,0.00407686,0.00558586
393,61.4968,60.75,0.00407308,0.00558453
394,61.5135,60.775,0.00406932,0.00558323
395,61.5468,60.8,0.00406557,0.00558193
396,61.5385,60.875,0.00406183,0.00558065
397,61.5551,60.85,0.0040581,0.00557939
398,61.5885,60.875,0.00405439,0.00557815
399,61.5885,60.9,0.00405069,0.00557692
400,61.6385,60.875,0.004047,0.00557571
401,61.6551,60.875,0.00404332,0.00557451
402,61.6551,60.875,0.00403965,0.00557333
403,61.6801,60.875,0.00403599,0.00557217
404,61.7135,60.85,0.00403235,0.00557102
405,61.7718,60.9,0.00402871,0.00556989
406,61.7885,60.875,0.00402508,0.00556878
407,61.7968,60.95,0.00402146,0.00556769
408,61.7968,60.975,0.00401784,0.00556661
409,61.8052,60.975,0.00401424,0.00556555
410,61.8385,61,0.00401064,0.00556451
411,61.8635,61.05,0.00400705,0.00556348
412,61.9052,61.1,0.00400346,0.00556248
413,61.9218,61.125,0.00399988,0.00556149
414,61.8885,61.1,0.00399631,0.00556052
415,61.9135,61.125,0.00399274,0.00555957
416,61.9135,61.15,0.00398918,0.00555864
417,61.9385,61.15,0.00398562,0.00555772
418,61.9802,61.2,0.00398207,0.00555683
419,61.9802,61.2,0.00397852,0.00555595
420,61.9802,61.25,0.00397497,0.00555509
421,62.0218,61.275,0.00397144,0.00555425
422,62.0802,61.3,0.0039679,0.00555344
423,62.1052,61.35,0.00396437,0.00555264
424,62.1385,61.35,0.00396085,0.00555186
425,62.1385,61.35,0.00395733,0.00555111
426,62.1802,61.375,0.00395382,0.00555038
427,62.1885,61.375,0.00395031,0.00554966
428,62.2385,61.45,0.00394681,0.00554898
429,62.2552,61.475,0.00394331,0.00554831
430,62.2635,61.5,0.00393981,0.00554766
431,62.2802,61.5,0.00393632,0.00554704
432,62.3219,61.525,0.00393284,0.00554644
433,62.3219,61.5,0.00392936,0.00554586
434,62.3135,61.575,0.00392588,0.0055453
435,62.3052,61.6,0.0039224,0.00554476
436,62.3469,61.575,0.00391893,0.00554424
437,62.3885,61.575,0.00391546,0.00554374
438,62.3802,61.525,0.00391199,0.00554326
439,62.3885,61.55,0.00390851,0.00554279
440,62.4219,61.575,0.00390504,0.00554235
441,62.4302,61.675,0.00390157,0.00554192
442,62.4719,61.625,0.0038981,0.0055415
443,62.4719,61.65,0.00389462,0.0055411
444,62.4635,61.7,0.00389115,0.00554071
445,62.4885,61.65,0.00388768,0.00554034
446,62.5135,61.725,0.0038842,0.00553998
447,62.5552,61.775,0.00388073,0.00553963
448,62.5969,61.775,0.00387726,0.00553929
449,62.6219,61.8,0.00387379,0.00553896
450,62.6469,61.95,0.00387033,0.00553864
451,62.6136,61.95,0.00386687,0.00553833
452,62.6136,61.95,0.00386341,0.00553803
453,62.6136,61.975,0.00385997,0.00553774
454,62.6386,61.95,0.00385653,0.00553745
455,62.6886,62.075,0.00385309,0.00553718
456,62.7136,62.1,0.00384967,0.0055369
457,62.7302,62.125,0.00384626,0.00553664
458,62.7469,62.15,0.00384286,0.00553638
459,62.7552,62.15,0.00383947,0.00553612
460,62.7719,62.15,0.00383609,0.00553587
461,62.8136,62.175,0.00383273,0.00553563
462,62.7969,62.175,0.00382937,0.00553538
463,62.7969,62.175,0.00382603,0.00553514
464,62.7886,62.15,0.00382271,0.00553491
465,62.8302,62.125,0.0038194,0.00553467
466,62.8386,62.075,0.0038161,0.00553444
467,62.8719,62.175,0.00381281,0.00553421
468,62.8886,62.175,0.00380954,0.00553398
469,62.9302,62.2,0.00380628,0.00553375
470,62.9302,62.25,0.00380304,0.00553353
471,62.9386,62.325,0.00379981,0.0055333
472,62.9802,62.275,0.0037966,0.00553307
473,63.0303,62.25,0.0037934,0.00553285
474,63.0719,62.275,0.00379022,0.00553262
475,63.0803,62.325,0.00378705,0.00553239
476,63.1469,62.375,0.00378389,0.00553216
477,63.1553,62.4,0.00378075,0.00553192
478,63.1469,62.5,0.00377762,0.00553169
479,63.1803,62.55,0.00377451,0.00553145
480,63.2136,62.55,0.00377142,0.00553121
481,63.2386,62.625,0.00376834,0.00553097
482,63.2469,62.625,0.00376527,0.00553073
483,63.2719,62.625,0.00376222,0.00553048
484,63.2553,62.625,0.00375918,0.00553023
485,63.2969,62.625,0.00375615,0.00552997
486,63.2969,62.7,0.00375314,0.00552972
487,63.2886,62.7,0.00375015,0.00552945
488,63.2553,62.7,0.00374717,0.00552919
489,63.3053,62.675,0.0037442,0.00552892
490,63.3636,62.65,0.00374125,0.00552864
491,63.3719,62.65,0.00373832,0.00552836
492,63.3636,62.675,0.00373539,0.00552808
493,63.4053,62.65,0.00373248,0.00552779
494,63.447,62.625,0.00372959,0.00552749
495,63.447,62.65,0.00372671,0.00552719
496,63.4636,62.675,0.00372384,0.00552689
497,63.4803,62.725,0.00372099,0.00552658
498,63.4886,62.75,0.00371815,0.00552627
499,63.5053,62.775,0.00371532,0.00552595
500,63.5553,62.8,0.00371251,0.00552562
501,63.5886,62.825,0.00370971,0.00552529
502,63.622,62.85,0.00370693,0.00552496
503,63.6136,62.85,0.00370415,0.00552462
504,63.6136,62.825,0.00370139,0.00552427
505,63.6636,62.9,0.00369865,0.00552392
506,63.672,62.95,0.00369591,0.00552357
507,63.697,63.05,0.00369319,0.00552321
508,63.7386,63.075,0.00369048,0.00552284
509,63.722,63.025,0.00368779,0.00552247
510,63.7303,63.025,0.00368511,0.0055221
511,63.747,63.05,0.00368243,0.00552172
512,63.7803,62.975,0.00367978,0.00552134
